Target: DefaultSC

Observer: Cebreros
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 00:32:23.631    01 Mar 2026 00:40:10.371      466.73999220    
01 Mar 2026 14:27:08.071    01 Mar 2026 14:34:41.361      453.29016448    
01 Mar 2026 16:05:58.791    01 Mar 2026 16:12:29.440      390.64912928    
01 Mar 2026 22:47:47.166    01 Mar 2026 22:54:15.723      388.55753996    
02 Mar 2026 00:25:36.561    02 Mar 2026 00:33:03.806      447.24513434    
02 Mar 2026 14:20:01.894    02 Mar 2026 14:27:54.030      472.13658239    
02 Mar 2026 15:59:28.722    02 Mar 2026 16:05:21.767      353.04574147    
02 Mar 2026 22:40:42.308    02 Mar 2026 22:47:41.002      418.69399262    
03 Mar 2026 00:18:52.576    03 Mar 2026 00:25:52.792      420.21546175    
03 Mar 2026 14:12:59.557    03 Mar 2026 14:21:04.250      484.69310281    
03 Mar 2026 15:53:04.133    03 Mar 2026 15:58:10.320      306.18715781    
03 Mar 2026 22:33:39.628    03 Mar 2026 22:41:02.462      442.83361821    
04 Mar 2026 00:12:12.618    04 Mar 2026 00:18:36.399      383.78099960    
04 Mar 2026 14:06:00.723    04 Mar 2026 14:14:12.378      491.65447875    
04 Mar 2026 15:46:47.324    04 Mar 2026 15:50:52.828      245.50369503    
04 Mar 2026 22:26:38.817    04 Mar 2026 22:34:20.446      461.62933985    
05 Mar 2026 00:05:38.388    05 Mar 2026 00:11:12.938      334.55022974    
05 Mar 2026 13:59:05.183    05 Mar 2026 14:07:18.652      493.46874357    
05 Mar 2026 15:40:45.428    05 Mar 2026 15:43:22.178      156.75075282    
05 Mar 2026 22:19:39.705    05 Mar 2026 22:27:35.158      475.45297206    
05 Mar 2026 23:59:13.625    06 Mar 2026 00:03:38.679      265.05467277    
06 Mar 2026 12:17:44.187    06 Mar 2026 12:19:32.484      108.29677196    
06 Mar 2026 13:52:12.814    06 Mar 2026 14:00:23.222      490.40754859    
06 Mar 2026 22:12:42.219    06 Mar 2026 22:20:46.707      484.48742033    
06 Mar 2026 23:53:11.763    06 Mar 2026 23:55:40.190      148.42751134    
07 Mar 2026 12:09:33.612    07 Mar 2026 12:13:42.374      248.76247557    
07 Mar 2026 13:45:23.567    07 Mar 2026 13:53:26.168      482.60099015    
07 Mar 2026 20:30:02.425    07 Mar 2026 20:31:51.127      108.70179234    
07 Mar 2026 22:05:46.357    07 Mar 2026 22:13:55.126      488.76904661    


Number of events : 29


Observer: Fucino
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 12:52:23.279    01 Mar 2026 12:58:08.782      345.50266291    
01 Mar 2026 14:29:16.991    01 Mar 2026 14:37:07.001      470.00929057    
01 Mar 2026 21:11:36.036    01 Mar 2026 21:16:55.623      319.58702729    
01 Mar 2026 22:48:50.864    01 Mar 2026 22:56:52.686      481.82211500    
02 Mar 2026 12:45:01.307    02 Mar 2026 12:51:33.046      391.73942304    
02 Mar 2026 14:22:33.902    02 Mar 2026 14:30:07.210      453.30792270    
02 Mar 2026 21:04:27.355    02 Mar 2026 21:10:28.220      360.86511825    
02 Mar 2026 22:42:00.741    02 Mar 2026 22:49:50.867      470.12662673    
03 Mar 2026 12:37:45.834    03 Mar 2026 12:44:52.164      426.33032058    
03 Mar 2026 14:15:53.939    03 Mar 2026 14:23:05.867      431.92847186    
03 Mar 2026 20:57:21.588    03 Mar 2026 21:03:56.249      394.66154182    
03 Mar 2026 22:35:12.857    03 Mar 2026 22:42:45.413      452.55530815    
04 Mar 2026 12:30:35.402    04 Mar 2026 12:38:07.601      452.19928640    
04 Mar 2026 14:09:17.318    04 Mar 2026 14:16:02.783      405.46464908    
04 Mar 2026 20:50:18.033    04 Mar 2026 20:57:20.437      422.40391140    
04 Mar 2026 22:28:27.706    04 Mar 2026 22:35:35.849      428.14321340    
05 Mar 2026 12:23:29.185    05 Mar 2026 12:31:20.198      471.01246450    
05 Mar 2026 14:02:44.399    05 Mar 2026 14:08:57.622      373.22290615    
05 Mar 2026 20:43:16.299    05 Mar 2026 20:50:41.196      444.89737563    
05 Mar 2026 22:21:46.058    05 Mar 2026 22:28:21.417      395.35938618    
06 Mar 2026 12:16:26.672    06 Mar 2026 12:24:30.482      483.81041076    
06 Mar 2026 13:56:15.796    06 Mar 2026 14:01:49.792      333.99612077    
06 Mar 2026 20:36:16.163    06 Mar 2026 20:43:58.776      462.61291303    
06 Mar 2026 22:15:09.239    06 Mar 2026 22:21:00.803      351.56419084    
07 Mar 2026 12:09:27.530    07 Mar 2026 12:17:38.805      491.27522424    
07 Mar 2026 13:49:52.661    07 Mar 2026 13:54:38.158      285.49669470    
07 Mar 2026 20:29:17.508    07 Mar 2026 20:37:13.323      475.81521895    
07 Mar 2026 22:08:39.902    07 Mar 2026 22:13:31.361      291.45845702    


Number of events : 28


Observer: Maspalomas
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 00:34:58.798    01 Mar 2026 00:41:03.647      364.84907874    
01 Mar 2026 02:12:55.574    01 Mar 2026 02:19:18.286      382.71222176    
01 Mar 2026 14:23:36.559    01 Mar 2026 14:29:53.409      376.85059689    
01 Mar 2026 16:01:38.134    01 Mar 2026 16:08:00.417      382.28314606    
02 Mar 2026 00:27:45.369    02 Mar 2026 00:34:34.263      408.89417245    
02 Mar 2026 02:06:27.245    02 Mar 2026 02:11:50.440      323.19482242    
02 Mar 2026 14:16:16.526    02 Mar 2026 14:23:18.124      421.59791094    
02 Mar 2026 15:55:15.078    02 Mar 2026 16:00:42.007      326.92883424    
03 Mar 2026 00:20:37.026    03 Mar 2026 00:27:58.205      441.17923578    
03 Mar 2026 02:00:14.216    03 Mar 2026 02:04:06.246      232.02915379    
03 Mar 2026 14:09:03.639    03 Mar 2026 14:16:36.790      453.15028236    
03 Mar 2026 15:49:04.983    03 Mar 2026 15:53:12.387      247.40404777    
04 Mar 2026 00:13:32.648    04 Mar 2026 00:21:16.673      464.02454318    
04 Mar 2026 14:01:56.469    04 Mar 2026 14:09:50.875      474.40674773    
04 Mar 2026 15:43:31.594    04 Mar 2026 15:45:07.906      96.311631217    
05 Mar 2026 00:06:31.665    05 Mar 2026 00:14:30.311      478.64598180    
05 Mar 2026 13:54:54.247    05 Mar 2026 14:03:01.188      486.94056063    
05 Mar 2026 23:59:33.810    06 Mar 2026 00:07:39.455      485.64523913    
06 Mar 2026 13:47:56.567    06 Mar 2026 13:56:08.183      491.61555193    
06 Mar 2026 23:52:39.024    07 Mar 2026 00:00:44.224      485.20008683    
07 Mar 2026 13:41:03.254    07 Mar 2026 13:49:12.087      488.83374149    
07 Mar 2026 23:45:47.430    07 Mar 2026 23:53:44.550      477.12018887    


Number of events : 22


Observer: Redu
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 00:33:22.658    01 Mar 2026 00:35:52.377      149.71937500    
01 Mar 2026 14:30:08.164    01 Mar 2026 14:37:59.078      470.91412875    
01 Mar 2026 16:08:43.539    01 Mar 2026 16:16:07.825      444.28600988    
01 Mar 2026 17:50:12.163    01 Mar 2026 17:53:34.619      202.45607535    
01 Mar 2026 19:30:47.252    01 Mar 2026 19:33:03.059      135.80712082    
01 Mar 2026 21:08:10.897    01 Mar 2026 21:14:56.408      405.51069434    
01 Mar 2026 22:46:06.361    01 Mar 2026 22:54:13.723      487.36122949    
02 Mar 2026 14:23:06.308    02 Mar 2026 14:31:08.612      482.30338942    
02 Mar 2026 16:02:02.177    02 Mar 2026 16:09:10.444      428.26684291    
02 Mar 2026 17:43:43.152    02 Mar 2026 17:46:35.452      172.29981950    
02 Mar 2026 19:23:48.184    02 Mar 2026 19:26:34.601      166.41734537    
02 Mar 2026 21:01:13.218    02 Mar 2026 21:08:16.731      423.51331181    
02 Mar 2026 22:39:14.615    02 Mar 2026 22:47:14.611      479.99616779    
03 Mar 2026 14:16:06.980    03 Mar 2026 14:24:16.940      489.96051225    
03 Mar 2026 15:55:22.374    03 Mar 2026 16:02:12.756      410.38135635    
03 Mar 2026 17:37:14.727    03 Mar 2026 17:39:36.292      141.56502091    
03 Mar 2026 19:16:49.077    03 Mar 2026 19:20:05.599      196.52190573    
03 Mar 2026 20:54:15.840    03 Mar 2026 21:01:35.504      439.66380288    
03 Mar 2026 22:32:24.055    03 Mar 2026 22:40:12.989      468.93403048    
04 Mar 2026 12:34:34.217    04 Mar 2026 12:36:56.216      141.99879697    
04 Mar 2026 14:09:09.994    04 Mar 2026 14:17:24.251      494.25733000    
04 Mar 2026 15:48:44.068    04 Mar 2026 15:55:14.793      390.72569513    
04 Mar 2026 17:30:46.695    04 Mar 2026 17:32:37.230      110.53490827    
04 Mar 2026 19:09:49.995    04 Mar 2026 19:13:35.889      225.89381409    
04 Mar 2026 20:47:18.802    04 Mar 2026 20:54:52.665      453.86380035    
04 Mar 2026 22:25:34.923    04 Mar 2026 22:33:08.617      453.69451975    
05 Mar 2026 12:26:39.992    05 Mar 2026 12:30:48.386      248.39346574    
05 Mar 2026 14:02:15.206    05 Mar 2026 14:10:30.691      495.48509504    
05 Mar 2026 15:42:07.191    05 Mar 2026 15:48:16.587      369.39613024    
05 Mar 2026 17:24:18.740    05 Mar 2026 17:25:38.469      79.729475384    
05 Mar 2026 19:02:50.979    05 Mar 2026 19:07:05.336      254.35751884    
05 Mar 2026 20:40:22.144    05 Mar 2026 20:48:08.155      466.01104292    
05 Mar 2026 22:18:47.546    05 Mar 2026 22:26:01.169      433.62260620    
06 Mar 2026 12:19:06.927    06 Mar 2026 12:24:20.737      313.81084502    
06 Mar 2026 13:55:22.498    06 Mar 2026 14:03:36.376      493.87803149    
06 Mar 2026 15:35:31.674    06 Mar 2026 15:41:18.165      346.49080569    
06 Mar 2026 17:17:50.079    06 Mar 2026 17:18:40.677      50.598433055    
06 Mar 2026 18:55:52.060    06 Mar 2026 19:00:33.824      281.76442391    
06 Mar 2026 20:33:25.914    06 Mar 2026 20:41:21.910      475.99657264    
06 Mar 2026 22:12:02.394    06 Mar 2026 22:18:50.175      407.78097158    
07 Mar 2026 12:11:43.394    07 Mar 2026 12:17:44.889      361.49503839    
07 Mar 2026 13:48:31.774    07 Mar 2026 13:56:41.403      489.62905911    
07 Mar 2026 15:28:57.442    07 Mar 2026 15:34:19.553      322.11129632    
07 Mar 2026 17:11:17.270    07 Mar 2026 17:11:47.178      29.907738918    
07 Mar 2026 18:48:53.266    07 Mar 2026 18:54:01.248      307.98257876    
07 Mar 2026 20:26:30.166    07 Mar 2026 20:34:33.868      483.70135131    
07 Mar 2026 22:05:20.182    07 Mar 2026 22:11:34.919      374.73706448    


Number of events : 47


