Target: DefaultSC

Observer: Avilla
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:32:32.309    13 Feb 2026 00:36:14.933      222.62342001    
13 Feb 2026 16:05:19.213    13 Feb 2026 16:08:39.901      200.68846964    
14 Feb 2026 00:25:19.329    14 Feb 2026 00:29:12.797      233.46801926    
14 Feb 2026 15:57:56.094    14 Feb 2026 16:01:42.833      226.73883409    
15 Feb 2026 00:18:11.818    15 Feb 2026 00:22:03.179      231.36142865    
15 Feb 2026 15:50:42.129    15 Feb 2026 15:54:38.567      236.43767004    
16 Feb 2026 00:11:10.504    16 Feb 2026 00:14:45.392      214.88789065    
16 Feb 2026 15:43:35.830    16 Feb 2026 15:47:28.629      232.79899472    
17 Feb 2026 00:04:17.967    17 Feb 2026 00:07:16.896      178.92897693    
17 Feb 2026 15:36:37.031    17 Feb 2026 15:40:13.232      216.20093768    
17 Feb 2026 23:57:44.470    17 Feb 2026 23:59:27.471      103.00154256    
18 Feb 2026 15:29:46.853    18 Feb 2026 15:32:51.292      184.43841005    
18 Feb 2026 22:11:48.574    18 Feb 2026 22:13:44.011      115.43647751    
19 Feb 2026 15:23:09.817    19 Feb 2026 15:25:18.328      128.51105926    
19 Feb 2026 22:04:12.953    19 Feb 2026 22:07:09.868      176.91489297    


Number of events : 15


Observer: Barcelona
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:12.573    13 Feb 2026 00:36:55.581      223.00889933    
13 Feb 2026 16:06:02.078    13 Feb 2026 16:09:59.062      236.98340831    
14 Feb 2026 00:26:16.033    14 Feb 2026 00:29:31.825      195.79199682    
14 Feb 2026 15:58:55.698    14 Feb 2026 16:02:49.295      233.59624195    
15 Feb 2026 00:19:31.910    15 Feb 2026 00:21:53.748      141.83761674    
15 Feb 2026 15:51:56.448    15 Feb 2026 15:55:34.420      217.97155207    
15 Feb 2026 22:34:01.874    15 Feb 2026 22:35:38.856      96.981845156    
16 Feb 2026 15:45:05.235    16 Feb 2026 15:48:13.564      188.32924780    
16 Feb 2026 22:26:22.607    16 Feb 2026 22:29:09.072      166.46469065    
17 Feb 2026 15:38:25.612    17 Feb 2026 15:40:43.208      137.59589513    
17 Feb 2026 22:18:58.081    17 Feb 2026 22:22:22.452      204.37141084    
18 Feb 2026 13:52:53.428    18 Feb 2026 13:54:36.843      103.41462905    
18 Feb 2026 22:11:40.666    18 Feb 2026 22:15:26.655      225.98928827    
19 Feb 2026 13:45:03.926    19 Feb 2026 13:48:03.296      179.36987771    
19 Feb 2026 22:04:28.627    19 Feb 2026 22:08:23.446      234.81845671    


Number of events : 15


Observer: Delft
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 16:09:24.405    13 Feb 2026 16:11:42.315      137.91031928    
13 Feb 2026 17:47:28.894    13 Feb 2026 17:50:59.340      210.44595418    
13 Feb 2026 21:07:31.424    13 Feb 2026 21:09:12.069      100.64510229    
13 Feb 2026 22:45:32.717    13 Feb 2026 22:49:28.940      236.22301872    
14 Feb 2026 16:01:50.366    14 Feb 2026 16:04:53.668      183.30140531    
14 Feb 2026 17:40:32.266    14 Feb 2026 17:43:46.346      194.07954791    
14 Feb 2026 21:00:12.808    14 Feb 2026 21:02:25.218      132.40958626    
14 Feb 2026 22:38:26.714    14 Feb 2026 22:42:18.168      231.45393374    
15 Feb 2026 15:54:26.266    15 Feb 2026 15:57:56.735      210.46848317    
15 Feb 2026 17:33:38.000    15 Feb 2026 17:36:32.256      174.25642570    
15 Feb 2026 20:52:56.475    15 Feb 2026 20:55:35.075      158.59991172    
15 Feb 2026 22:31:23.222    15 Feb 2026 22:35:03.299      220.07695832    
16 Feb 2026 15:47:08.360    16 Feb 2026 15:50:55.240      226.88062980    
16 Feb 2026 17:26:46.140    16 Feb 2026 17:29:16.937      150.79749887    
16 Feb 2026 20:45:41.608    16 Feb 2026 20:48:42.353      180.74517797    
16 Feb 2026 22:24:23.248    16 Feb 2026 22:27:43.298      200.05050445    
17 Feb 2026 15:39:55.110    17 Feb 2026 15:43:50.696      235.58632904    
17 Feb 2026 17:19:56.985    17 Feb 2026 17:21:59.992      123.00640916    
17 Feb 2026 20:38:27.919    17 Feb 2026 20:41:47.245      199.32641111    
17 Feb 2026 22:17:28.853    17 Feb 2026 22:20:16.080      167.22735499    
18 Feb 2026 15:32:45.684    18 Feb 2026 15:36:43.903      238.21902447    
18 Feb 2026 17:13:11.610    18 Feb 2026 17:14:40.237      88.626887393    
18 Feb 2026 20:31:15.324    18 Feb 2026 20:34:49.752      214.42818276    
18 Feb 2026 22:10:46.269    18 Feb 2026 22:12:35.394      109.12467811    
19 Feb 2026 15:25:39.562    19 Feb 2026 15:29:35.346      235.78445334    
19 Feb 2026 17:06:36.453    19 Feb 2026 17:07:11.114      34.661152458    
19 Feb 2026 20:24:03.848    19 Feb 2026 20:27:49.774      225.92635358    


Number of events : 27


Observer: Gibraltar
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:57.657    13 Feb 2026 00:36:19.047      141.38993322    
13 Feb 2026 16:04:00.553    13 Feb 2026 16:07:47.344      226.79059339    
14 Feb 2026 00:26:24.832    14 Feb 2026 00:29:40.149      195.31756863    
14 Feb 2026 15:56:46.381    14 Feb 2026 16:00:43.022      236.64152033    
15 Feb 2026 00:19:03.901    15 Feb 2026 00:22:47.202      223.30078224    
15 Feb 2026 15:49:41.259    15 Feb 2026 15:53:31.652      230.39284295    
16 Feb 2026 00:11:50.654    16 Feb 2026 00:15:44.488      233.83393177    
16 Feb 2026 15:42:45.420    16 Feb 2026 15:46:13.068      207.64773523    
17 Feb 2026 00:04:44.397    17 Feb 2026 00:08:32.771      228.37357773    
17 Feb 2026 15:36:01.615    17 Feb 2026 15:38:44.593      162.97847723    
17 Feb 2026 23:57:46.326    18 Feb 2026 00:01:10.922      204.59618488    
18 Feb 2026 15:29:46.889    18 Feb 2026 15:30:49.253      62.363696890    
18 Feb 2026 23:51:01.301    18 Feb 2026 23:53:34.143      152.84139148    
19 Feb 2026 13:44:04.630    19 Feb 2026 13:44:55.089      50.458081334    


Number of events : 14


Observer: Granada
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:37.787    13 Feb 2026 00:37:01.655      203.86827851    
13 Feb 2026 16:04:28.214    13 Feb 2026 16:08:23.070      234.85645219    
14 Feb 2026 00:26:19.175    14 Feb 2026 00:30:06.055      226.88081525    
14 Feb 2026 15:57:19.874    14 Feb 2026 16:01:14.276      234.40180299    
15 Feb 2026 00:19:07.561    15 Feb 2026 00:23:01.389      233.82765100    
15 Feb 2026 15:50:20.213    15 Feb 2026 15:53:58.849      218.63516243    
16 Feb 2026 00:12:02.725    16 Feb 2026 00:15:47.939      225.21338565    
16 Feb 2026 15:43:30.602    16 Feb 2026 15:46:35.485      184.88257695    
17 Feb 2026 00:05:06.251    17 Feb 2026 00:08:24.183      197.93181843    
17 Feb 2026 15:36:57.317    17 Feb 2026 15:38:57.973      120.65650237    
17 Feb 2026 23:58:24.145    18 Feb 2026 00:00:44.173      140.02786746    
19 Feb 2026 13:43:47.454    19 Feb 2026 13:46:12.392      144.93826755    
19 Feb 2026 22:05:37.653    19 Feb 2026 22:07:35.823      118.16919409    


Number of events : 13


Observer: Lausanne
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 16:07:45.830    13 Feb 2026 16:11:41.461      235.63049182    
13 Feb 2026 22:47:02.929    13 Feb 2026 22:50:38.428      215.49882452    
14 Feb 2026 16:00:36.887    14 Feb 2026 16:04:33.994      237.10744393    
14 Feb 2026 22:39:49.324    14 Feb 2026 22:43:39.045      229.72085938    
15 Feb 2026 15:53:33.185    15 Feb 2026 15:57:23.147      229.96215258    
15 Feb 2026 22:32:39.017    15 Feb 2026 22:36:34.508      235.49080520    
16 Feb 2026 15:46:34.628    16 Feb 2026 15:50:09.012      214.38377732    
16 Feb 2026 22:25:32.173    16 Feb 2026 22:29:24.651      232.47793964    
17 Feb 2026 15:39:41.637    17 Feb 2026 15:42:51.160      189.52368912    
17 Feb 2026 22:18:29.465    17 Feb 2026 22:22:08.803      219.33721241    
18 Feb 2026 13:54:29.568    18 Feb 2026 13:56:26.949      117.38086792    
18 Feb 2026 15:32:55.669    18 Feb 2026 15:35:28.117      152.44800257    
18 Feb 2026 20:33:54.839    18 Feb 2026 20:34:33.903      39.063650079    
18 Feb 2026 22:11:32.466    18 Feb 2026 22:14:45.398      192.93163150    
19 Feb 2026 13:46:46.877    19 Feb 2026 13:49:46.649      179.77272172    
19 Feb 2026 15:26:22.409    19 Feb 2026 15:27:54.169      91.760447645    
19 Feb 2026 20:26:05.922    19 Feb 2026 20:28:16.324      130.40180602    
19 Feb 2026 22:04:45.397    19 Feb 2026 22:07:10.222      144.82507508    


Number of events : 18


Observer: Lisbon
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:02.625    13 Feb 2026 00:35:11.531      128.90544363    
13 Feb 2026 16:04:51.364    13 Feb 2026 16:07:17.343      145.97903432    
14 Feb 2026 00:25:28.612    14 Feb 2026 00:28:34.888      186.27646775    
14 Feb 2026 15:57:12.831    14 Feb 2026 16:00:33.743      200.91166610    
15 Feb 2026 00:18:06.581    15 Feb 2026 00:21:44.117      217.53675038    
15 Feb 2026 15:49:49.356    15 Feb 2026 15:53:36.991      227.63402889    
16 Feb 2026 00:10:51.706    16 Feb 2026 00:14:44.097      232.39073369    
16 Feb 2026 15:42:35.608    16 Feb 2026 15:46:32.469      236.86096191    
17 Feb 2026 00:03:42.934    17 Feb 2026 00:07:35.934      232.99992748    
17 Feb 2026 15:35:30.081    17 Feb 2026 15:39:21.736      231.65468734    
17 Feb 2026 23:56:40.741    18 Feb 2026 00:00:19.208      218.46676350    
18 Feb 2026 15:28:32.803    18 Feb 2026 15:32:04.818      212.01509046    
