Target: DefaultSC

Observer: Delft
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 17:47:04.054    13 Feb 2026 17:50:59.849      235.79521916    
13 Feb 2026 19:26:38.378    13 Feb 2026 19:30:17.262      218.88403863    
13 Feb 2026 21:06:06.645    13 Feb 2026 21:09:59.618      232.97377909    
13 Feb 2026 22:45:47.487    13 Feb 2026 22:48:36.766      169.27894440    
14 Feb 2026 17:39:38.656    14 Feb 2026 17:43:37.629      238.97229438    
14 Feb 2026 19:19:19.025    14 Feb 2026 19:22:55.798      216.77241951    
14 Feb 2026 20:58:42.905    14 Feb 2026 21:02:39.314      236.40881628    
14 Feb 2026 22:38:46.261    14 Feb 2026 22:40:42.688      116.42670454    
15 Feb 2026 15:55:11.523    15 Feb 2026 15:55:20.682      9.1585898073    
15 Feb 2026 17:32:15.560    15 Feb 2026 17:36:14.508      238.94847196    
15 Feb 2026 19:11:58.999    15 Feb 2026 19:15:35.182      216.18248702    
15 Feb 2026 20:51:19.394    15 Feb 2026 20:55:17.617      238.22305282    
16 Feb 2026 15:46:39.679    16 Feb 2026 15:48:55.755      136.07540166    
16 Feb 2026 17:24:54.223    16 Feb 2026 17:28:50.902      236.67879790    
16 Feb 2026 19:04:38.164    16 Feb 2026 19:08:15.354      217.19071178    
16 Feb 2026 20:43:56.469    16 Feb 2026 20:47:54.031      237.56120957    
17 Feb 2026 15:38:49.921    17 Feb 2026 15:41:50.595      180.67437017    
17 Feb 2026 17:17:34.161    17 Feb 2026 17:21:27.153      232.99155176    
17 Feb 2026 18:57:16.483    17 Feb 2026 19:00:56.152      219.66952145    
17 Feb 2026 20:36:34.571    17 Feb 2026 20:40:27.993      233.42191241    
18 Feb 2026 15:31:10.006    18 Feb 2026 15:34:37.386      207.37947797    
18 Feb 2026 17:10:14.924    18 Feb 2026 17:14:03.558      228.63397003    
18 Feb 2026 18:49:54.018    18 Feb 2026 18:53:37.321      223.30283162    
18 Feb 2026 20:29:14.279    18 Feb 2026 20:32:58.814      224.53520712    
19 Feb 2026 15:23:36.037    19 Feb 2026 15:27:19.957      223.91996674    
19 Feb 2026 17:02:56.088    19 Feb 2026 17:06:40.373      224.28477660    
19 Feb 2026 18:42:30.911    19 Feb 2026 18:46:18.531      227.62006485    
19 Feb 2026 20:21:56.449    19 Feb 2026 20:25:25.542      209.09321371    


Number of events : 28


Observer: Granada
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:17.883    13 Feb 2026 00:37:12.493      234.60970300    
13 Feb 2026 16:04:34.158    13 Feb 2026 16:07:50.094      195.93599844    
14 Feb 2026 00:25:58.232    14 Feb 2026 00:29:42.417      224.18472434    
14 Feb 2026 15:56:52.316    14 Feb 2026 16:00:39.773      227.45730233    
15 Feb 2026 00:18:48.275    15 Feb 2026 00:22:00.244      191.96993950    
