Target: DefaultSC

Observer: Avilla
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:32:26.193    13 Feb 2026 00:36:14.928      228.73488480    
13 Feb 2026 16:06:31.351    13 Feb 2026 16:06:54.241      22.889117827    
13 Feb 2026 17:44:36.396    13 Feb 2026 17:47:09.001      152.60562217    
14 Feb 2026 00:25:12.022    14 Feb 2026 00:28:37.837      205.81429554    
14 Feb 2026 15:57:53.338    14 Feb 2026 16:00:36.367      163.02879191    
14 Feb 2026 17:38:01.216    14 Feb 2026 17:39:06.147      64.931523625    
14 Feb 2026 22:39:37.339    14 Feb 2026 22:40:42.425      65.085552726    
15 Feb 2026 00:18:09.695    15 Feb 2026 00:20:46.561      156.86557568    
15 Feb 2026 15:50:03.054    15 Feb 2026 15:53:33.068      210.01426585    
15 Feb 2026 22:31:34.763    15 Feb 2026 22:34:06.894      152.13085860    
16 Feb 2026 15:42:26.427    16 Feb 2026 15:46:18.460      232.03310575    
16 Feb 2026 22:23:52.471    16 Feb 2026 22:27:08.617      196.14652743    
17 Feb 2026 15:34:59.157    17 Feb 2026 15:38:56.889      237.73199640    
17 Feb 2026 22:16:17.913    17 Feb 2026 22:20:00.135      222.22264612    
18 Feb 2026 15:27:39.829    18 Feb 2026 15:31:29.807      229.97819586    
18 Feb 2026 22:08:48.948    18 Feb 2026 22:12:43.599      234.65062733    
19 Feb 2026 15:20:28.279    19 Feb 2026 15:23:57.406      209.12788901    
19 Feb 2026 22:01:25.337    19 Feb 2026 22:05:19.271      233.93394034    


Number of events : 18


Observer: Barcelona
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:59.507    13 Feb 2026 00:36:11.122      131.61455656    
13 Feb 2026 16:06:07.956    13 Feb 2026 16:09:27.288      199.33246400    
13 Feb 2026 22:47:01.641    13 Feb 2026 22:49:59.993      178.35210040    
14 Feb 2026 15:58:28.037    14 Feb 2026 16:02:15.240      227.20281109    
14 Feb 2026 22:39:24.606    14 Feb 2026 22:42:55.462      210.85518992    
15 Feb 2026 15:50:57.912    15 Feb 2026 15:54:55.756      237.84490032    
15 Feb 2026 22:31:53.228    15 Feb 2026 22:35:42.863      229.63472747    
16 Feb 2026 15:43:35.621    16 Feb 2026 15:47:30.827      235.20568806    
16 Feb 2026 22:24:26.704    16 Feb 2026 22:28:23.001      236.29716744    
17 Feb 2026 15:36:20.551    17 Feb 2026 15:40:01.086      220.53469762    
17 Feb 2026 22:17:05.347    17 Feb 2026 22:20:55.581      230.23328619    
18 Feb 2026 15:29:13.062    18 Feb 2026 15:32:26.182      193.12003038    
18 Feb 2026 22:09:50.609    18 Feb 2026 22:13:19.176      208.56666695    
19 Feb 2026 13:43:27.025    19 Feb 2026 13:45:07.686      100.66061091    
19 Feb 2026 15:22:15.280    19 Feb 2026 15:24:43.978      148.69777680    
19 Feb 2026 20:24:02.760    19 Feb 2026 20:25:36.556      93.796254345    
19 Feb 2026 22:02:46.634    19 Feb 2026 22:05:29.678      163.04355873    


Number of events : 17


Observer: Delft
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 17:47:04.061    13 Feb 2026 17:50:59.624      235.56259274    
13 Feb 2026 19:26:38.189    13 Feb 2026 19:30:17.073      218.88348669    
13 Feb 2026 21:06:06.455    13 Feb 2026 21:09:59.322      232.86659990    
13 Feb 2026 22:45:47.341    13 Feb 2026 22:48:36.389      169.04845380    
14 Feb 2026 17:39:38.622    14 Feb 2026 17:43:37.422      238.79962759    
14 Feb 2026 19:19:18.827    14 Feb 2026 19:22:55.598      216.77083595    
14 Feb 2026 20:58:42.721    14 Feb 2026 21:02:39.004      236.28284885    
14 Feb 2026 22:38:46.151    14 Feb 2026 22:40:42.275      116.12465428    
15 Feb 2026 17:32:15.490    15 Feb 2026 17:36:14.314      238.82456868    
15 Feb 2026 19:11:58.797    15 Feb 2026 19:15:34.970      216.17330757    
15 Feb 2026 20:51:19.214    15 Feb 2026 20:55:17.294      238.07995236    
16 Feb 2026 15:46:40.121    16 Feb 2026 15:48:55.196      135.07504372    
