Target: DefaultSC

Observer: Cebreros
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 00:32:45.102    01 Mar 2026 00:40:10.933      445.83082208    
01 Mar 2026 02:10:21.929    01 Mar 2026 02:15:01.994      280.06509540    
01 Mar 2026 12:54:18.017    01 Mar 2026 12:56:03.305      105.28811831    
01 Mar 2026 14:27:16.325    01 Mar 2026 14:35:10.406      474.08086719    
02 Mar 2026 00:26:18.803    02 Mar 2026 00:33:50.487      451.68357021    
02 Mar 2026 02:04:08.677    02 Mar 2026 02:08:23.974      255.29663534    
02 Mar 2026 12:47:23.569    02 Mar 2026 12:50:06.080      162.51109267    
02 Mar 2026 14:20:54.583    02 Mar 2026 14:28:44.992      470.40900897    
03 Mar 2026 00:19:52.746    03 Mar 2026 00:27:29.659      456.91300461    
03 Mar 2026 01:57:57.290    03 Mar 2026 02:01:43.953      226.66277398    
03 Mar 2026 12:40:37.600    03 Mar 2026 12:44:00.508      202.90811631    
03 Mar 2026 14:14:33.199    03 Mar 2026 14:22:19.353      466.15422730    
04 Mar 2026 00:13:26.918    04 Mar 2026 00:21:08.459      461.54091874    
04 Mar 2026 01:51:48.628    04 Mar 2026 01:55:01.071      192.44345804    
04 Mar 2026 12:33:55.692    04 Mar 2026 12:37:51.006      235.31332238    
04 Mar 2026 14:08:12.181    04 Mar 2026 14:15:53.482      461.30088880    
05 Mar 2026 00:07:01.312    05 Mar 2026 00:14:46.898      465.58584783    
05 Mar 2026 01:45:44.594    05 Mar 2026 01:48:13.425      148.83158875    
05 Mar 2026 12:27:16.357    05 Mar 2026 12:31:39.060      262.70348135    
05 Mar 2026 14:01:51.539    05 Mar 2026 14:09:27.369      455.83046044    
06 Mar 2026 00:00:35.919    06 Mar 2026 00:08:24.983      469.06345136    
06 Mar 2026 01:39:52.100    06 Mar 2026 01:41:14.100      82.000623294    
06 Mar 2026 12:20:38.871    06 Mar 2026 12:25:25.394      286.52282635    
06 Mar 2026 13:55:31.284    06 Mar 2026 14:03:01.005      449.72110003    
06 Mar 2026 23:54:10.734    07 Mar 2026 00:02:02.721      471.98682774    
07 Mar 2026 12:14:02.818    07 Mar 2026 12:19:10.422      307.60425621    
07 Mar 2026 13:49:11.429    07 Mar 2026 13:56:34.376      442.94715392    
07 Mar 2026 23:47:45.752    07 Mar 2026 23:55:40.118      474.36675819    


Number of events : 28


Observer: Fucino
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Mar 2026 00:33:14.078    01 Mar 2026 00:40:07.590      413.51165520    
01 Mar 2026 12:51:46.777    01 Mar 2026 12:59:50.302      483.52468447    
01 Mar 2026 22:50:32.687    01 Mar 2026 22:56:55.035      382.34859689    
02 Mar 2026 00:26:54.089    02 Mar 2026 00:33:37.402      403.31346224    
02 Mar 2026 12:45:21.906    02 Mar 2026 12:53:26.825      484.91932398    
02 Mar 2026 22:44:04.397    02 Mar 2026 22:50:37.667      393.26995342    
03 Mar 2026 00:20:34.485    03 Mar 2026 00:27:06.696      392.21121878    
03 Mar 2026 12:38:57.358    03 Mar 2026 12:47:03.153      485.79489664    
03 Mar 2026 22:37:36.468    03 Mar 2026 22:44:19.785      403.31665229    
04 Mar 2026 00:14:15.307    04 Mar 2026 00:20:35.432      380.12531635    
04 Mar 2026 12:32:33.133    04 Mar 2026 12:40:39.288      486.15484836    
04 Mar 2026 22:31:08.871    04 Mar 2026 22:38:01.423      412.55263713    
05 Mar 2026 00:07:56.602    05 Mar 2026 00:14:03.560      366.95810566    
05 Mar 2026 12:26:09.229    05 Mar 2026 12:34:15.230      486.00104148    
05 Mar 2026 22:24:41.577    05 Mar 2026 22:31:42.608      421.03135956    
06 Mar 2026 00:01:38.432    06 Mar 2026 00:07:31.020      352.58793019    
06 Mar 2026 12:19:45.645    06 Mar 2026 12:27:50.979      485.33377148    
06 Mar 2026 22:18:14.566    06 Mar 2026 22:25:23.364      428.79789012    
06 Mar 2026 23:55:20.873    07 Mar 2026 00:00:57.734      336.86026612    
07 Mar 2026 12:13:22.383    07 Mar 2026 12:21:26.535      484.15177289    
07 Mar 2026 22:11:47.818    07 Mar 2026 22:19:03.709      435.89049083    
07 Mar 2026 23:49:04.026    07 Mar 2026 23:54:23.600      319.57405116    


Number of events : 22


Observer: Maspalomas
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
