Target: DefaultSC

Observer: Delft
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 16:09:23.926    13 Feb 2026 16:11:42.815      138.88963434    
13 Feb 2026 17:47:29.040    13 Feb 2026 17:50:59.395      210.35555536    
13 Feb 2026 21:07:31.711    13 Feb 2026 21:09:12.277      100.56531150    
13 Feb 2026 22:45:32.905    13 Feb 2026 22:49:29.275      236.37014563    
14 Feb 2026 16:01:50.078    14 Feb 2026 16:04:53.998      183.91981971    
14 Feb 2026 17:40:32.458    14 Feb 2026 17:43:46.379      193.92104633    
14 Feb 2026 21:00:13.058    14 Feb 2026 21:02:25.469      132.41019384    
14 Feb 2026 22:38:26.901    14 Feb 2026 22:42:18.502      231.60064073    
15 Feb 2026 15:54:26.078    15 Feb 2026 15:57:56.985      210.90701586    
15 Feb 2026 17:33:38.240    15 Feb 2026 17:36:32.262      174.02196459    
15 Feb 2026 20:52:56.704    15 Feb 2026 20:55:35.353      158.64873809    
15 Feb 2026 22:31:23.410    15 Feb 2026 22:35:03.630      220.22052932    
16 Feb 2026 15:47:08.242    16 Feb 2026 15:50:55.441      227.19847126    
16 Feb 2026 17:26:46.437    16 Feb 2026 17:29:16.908      150.47093688    
16 Feb 2026 20:45:41.823    16 Feb 2026 20:48:42.650      180.82687261    
16 Feb 2026 22:24:23.437    16 Feb 2026 22:27:43.626      200.18854622    
17 Feb 2026 15:39:55.049    17 Feb 2026 15:43:50.860      235.81097358    
17 Feb 2026 17:19:57.357    17 Feb 2026 17:21:59.909      122.55202399    
17 Feb 2026 20:38:28.125    17 Feb 2026 20:41:47.556      199.43159876    
17 Feb 2026 22:17:29.045    17 Feb 2026 22:20:16.403      167.35865897    
18 Feb 2026 15:32:45.673    18 Feb 2026 15:36:44.039      238.36527255    
18 Feb 2026 17:13:12.108    18 Feb 2026 17:14:40.048      87.940479303    
18 Feb 2026 20:31:15.522    18 Feb 2026 20:34:50.073      214.55030164    
18 Feb 2026 22:10:46.458    18 Feb 2026 22:12:35.717      109.25820874    
19 Feb 2026 15:25:39.597    19 Feb 2026 15:29:35.457      235.86064830    
19 Feb 2026 17:06:37.561    19 Feb 2026 17:07:10.335      32.774267450    
19 Feb 2026 20:24:04.041    19 Feb 2026 20:27:50.102      226.06037959    


Number of events : 27


Observer: Granada
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:33:37.787    13 Feb 2026 00:37:01.655      203.86827851    
13 Feb 2026 16:04:28.214    13 Feb 2026 16:08:23.070      234.85645219    
14 Feb 2026 00:26:19.175    14 Feb 2026 00:30:06.055      226.88081525    
14 Feb 2026 15:57:19.874    14 Feb 2026 16:01:14.276      234.40180299    
15 Feb 2026 00:19:07.561    15 Feb 2026 00:23:01.389      233.82765100    
15 Feb 2026 15:50:20.213    15 Feb 2026 15:53:58.849      218.63516243    
16 Feb 2026 00:12:02.725    16 Feb 2026 00:15:47.939      225.21338565    
16 Feb 2026 15:43:30.602    16 Feb 2026 15:46:35.485      184.88257695    
17 Feb 2026 00:05:06.251    17 Feb 2026 00:08:24.183      197.93181843    
17 Feb 2026 15:36:57.317    17 Feb 2026 15:38:57.973      120.65650237    
17 Feb 2026 23:58:24.145    18 Feb 2026 00:00:44.173      140.02786746    
19 Feb 2026 13:43:47.454    19 Feb 2026 13:46:12.392      144.93826755    
19 Feb 2026 22:05:37.653    19 Feb 2026 22:07:35.823      118.16919409    


Number of events : 13


Observer: Nemea
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 14:29:21.304    13 Feb 2026 14:33:17.869      236.56506732    
13 Feb 2026 22:50:47.545    13 Feb 2026 22:54:41.600      234.05445524    
14 Feb 2026 14:22:15.475    14 Feb 2026 14:26:07.272      231.79742571    
14 Feb 2026 22:43:41.649    14 Feb 2026 22:47:29.607      227.95821618    
15 Feb 2026 14:15:18.165    15 Feb 2026 14:18:50.217      212.05159355    
15 Feb 2026 22:36:43.382    15 Feb 2026 22:40:08.025      204.64300085    
16 Feb 2026 14:08:31.274    16 Feb 2026 14:11:24.864      173.59027845    
16 Feb 2026 22:29:57.225    16 Feb 2026 22:32:32.426      155.20156464    
17 Feb 2026 14:02:03.744    17 Feb 2026 14:03:42.332      98.588093044    
18 Feb 2026 12:16:32.439    18 Feb 2026 12:17:36.893      64.453662105    
18 Feb 2026 20:37:19.777    18 Feb 2026 20:39:12.420      112.64322891    
19 Feb 2026 12:08:28.205    19 Feb 2026 12:11:17.815      169.60938920    
19 Feb 2026 20:29:41.273    19 Feb 2026 20:32:40.491      179.21799039    


Number of events : 13


Observer: Nicosia
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 22:53:28.317    13 Feb 2026 22:56:01.827      153.50916723    
14 Feb 2026 12:45:09.703    14 Feb 2026 12:47:31.128      141.42576774    
15 Feb 2026 12:37:28.759    15 Feb 2026 12:40:49.980      201.22071819    
15 Feb 2026 21:01:23.504    15 Feb 2026 21:02:09.263      45.758313022    
16 Feb 2026 12:30:04.898    16 Feb 2026 12:33:53.606      228.70886873    
16 Feb 2026 20:53:21.311    16 Feb 2026 20:56:01.055      159.74311017    
17 Feb 2026 12:22:51.893    17 Feb 2026 12:26:48.299      236.40644001    
17 Feb 2026 20:45:51.945    17 Feb 2026 20:49:17.809      205.86408813    
18 Feb 2026 12:15:48.296    18 Feb 2026 12:19:35.580      227.28397610    
18 Feb 2026 20:38:33.244    18 Feb 2026 20:42:21.767      228.52297782    
19 Feb 2026 12:08:54.755    19 Feb 2026 12:12:14.877      200.12199841    
19 Feb 2026 20:31:22.266    19 Feb 2026 20:35:15.950      233.68416235    


Number of events : 12


Observer: Porto
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 00:31:55.614    13 Feb 2026 00:35:16.752      201.13779267    
13 Feb 2026 16:06:14.965    13 Feb 2026 16:07:19.898      64.933525538    
13 Feb 2026 17:44:55.374    13 Feb 2026 17:46:05.751      70.377484895    
14 Feb 2026 00:24:37.661    14 Feb 2026 00:28:21.727      224.06604162    
14 Feb 2026 15:58:12.849    14 Feb 2026 16:00:58.483      165.63455880    
15 Feb 2026 00:17:25.101    15 Feb 2026 00:21:19.277      234.17601746    
15 Feb 2026 15:50:40.486    15 Feb 2026 15:54:09.201      208.71512471    
16 Feb 2026 00:10:17.612    16 Feb 2026 00:14:09.757      232.14556554    
16 Feb 2026 15:43:19.838    16 Feb 2026 15:47:10.124      230.28621131    
17 Feb 2026 00:03:15.897    17 Feb 2026 00:06:52.501      216.60413813    
17 Feb 2026 15:36:07.479    17 Feb 2026 15:40:04.714      237.23491570    
17 Feb 2026 23:56:22.265    17 Feb 2026 23:59:25.235      182.97080398    
18 Feb 2026 15:29:02.283    18 Feb 2026 15:32:54.130      231.84626402    
18 Feb 2026 23:49:45.036    18 Feb 2026 23:51:39.673      114.63697816    
19 Feb 2026 15:22:04.200    19 Feb 2026 15:25:38.459      214.25924697    
19 Feb 2026 22:03:48.340    19 Feb 2026 22:05:56.232      127.89153781    


Number of events : 16


Observer: Tenerife
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
13 Feb 2026 02:12:20.087    13 Feb 2026 02:16:08.586      228.49872226    
13 Feb 2026 16:01:41.004    13 Feb 2026 16:03:55.155      134.15135255    
14 Feb 2026 02:05:10.430    14 Feb 2026 02:09:00.227      229.79702416    
14 Feb 2026 15:53:56.482    14 Feb 2026 15:57:17.721      201.23913994    
15 Feb 2026 01:58:11.021    15 Feb 2026 02:01:39.835      208.81442511    
15 Feb 2026 15:46:32.237    15 Feb 2026 15:50:21.678      229.44036748    
16 Feb 2026 01:51:26.890    16 Feb 2026 01:54:02.481      155.59060019    
16 Feb 2026 15:39:20.608    16 Feb 2026 15:43:14.781      234.17346014    
17 Feb 2026 15:32:20.440    17 Feb 2026 15:35:58.289      217.84960072    
18 Feb 2026 15:25:34.173    18 Feb 2026 15:28:29.873      175.70002045    
18 Feb 2026 23:51:54.285    18 Feb 2026 23:53:27.900      93.615285074    
19 Feb 2026 15:19:18.872    19 Feb 2026 15:20:32.589      73.717289942    
19 Feb 2026 23:44:04.079    19 Feb 2026 23:47:05.161      181.08195792    


Number of events : 13


